angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.0,,"[260, 153, 129, 159]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[259, 156, 127, 158]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[258, 157, 129, 158]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[257, 156, 129, 160]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[257, 161, 131, 166]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[257, 160, 130, 167]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[251, 154, 135, 173]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[248, 154, 135, 174]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[249, 154, 133, 168]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[247, 164, 130, 160]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[241, 162, 134, 162]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[234, 158, 137, 169]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[236, 166, 122, 146]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[237, 162, 125, 151]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[235, 157, 129, 158]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[234, 158, 129, 156]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[232, 158, 130, 157]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[231, 157, 131, 161]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[229, 158, 131, 160]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[229, 162, 127, 155]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[228, 159, 128, 156]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[230, 158, 129, 163]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[228, 158, 131, 166]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[230, 159, 128, 163]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[226, 155, 137, 174]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[226, 156, 132, 169]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,"[228, 165, 131, 163]",,0.0,,0.0,,0.98,,0.01,,0.01,,0.0,
0.08,,"[235, 166, 130, 164]",,0.0,,0.06,,0.1,,0.41,,0.35,,0.0,
0.14,,"[242, 166, 125, 155]",,0.0,,0.03,,0.01,,0.16,,0.65,,0.0,
0.04,,"[243, 165, 126, 160]",,0.0,,0.01,,0.01,,0.62,,0.32,,0.0,
0.04,,"[242, 162, 128, 160]",,0.0,,0.02,,0.01,,0.79,,0.15,,0.0,
0.03,,"[238, 151, 132, 173]",,0.0,,0.03,,0.0,,0.52,,0.41,,0.0,
0.03,,"[236, 149, 136, 176]",,0.0,,0.06,,0.0,,0.43,,0.47,,0.01,
0.02,,"[236, 154, 135, 172]",,0.0,,0.05,,0.0,,0.31,,0.61,,0.0,
0.06,,"[244, 164, 126, 157]",,0.0,,0.11,,0.0,,0.46,,0.35,,0.01,
0.02,,"[243, 162, 125, 158]",,0.0,,0.04,,0.01,,0.67,,0.26,,0.0,
0.02,,"[244, 162, 124, 158]",,0.0,,0.04,,0.0,,0.58,,0.36,,0.0,
0.02,0.45,"[241, 163, 126, 158]","[200, 215, 47, 65]",0.0,0.0,0.03,0.05,0.0,0.05,0.74,0.1,0.21,0.29,0.0,0.06
0.04,,"[240, 162, 128, 165]",,0.0,,0.05,,0.0,,0.55,,0.35,,0.0,
0.05,,"[242, 164, 126, 163]",,0.0,,0.03,,0.0,,0.53,,0.38,,0.0,
0.03,,"[241, 162, 128, 164]",,0.0,,0.03,,0.0,,0.76,,0.18,,0.0,
0.05,,"[239, 160, 129, 166]",,0.0,,0.14,,0.0,,0.27,,0.54,,0.0,
0.05,,"[237, 162, 131, 164]",,0.0,,0.06,,0.0,,0.45,,0.43,,0.0,
